city,feature,num_months,monthly_seasonal_amplitude_mean,monthly_seasonal_amplitude_std,monthly_seasonal_amplitude_variance,monthly_seasonal_amplitude_range,monthly_seasonal_amplitude_cv
Accra,visibility_km,25,3.1143458209183876,1.5483715118260608,2.3974543386345215,4.639979899826913,0.4971739173684515
Accra,uv_index,25,1.253573885247559,0.7961353612084411,0.633831513366495,2.9455332573502466,0.635092490819732
Kabul,temperature_celsius,25,5.567470925910026,1.598926482088273,2.55656589512318,6.330902042394353,0.2871908095015192
Kabul,humidity,25,24.754599550700245,13.318351201730188,177.37847873262794,42.20777515398551,0.5380152150897325
Kabul,pressure_mb,25,6.27425581624516,1.8831993277703432,3.5464397081146726,5.751489175211365,0.3001470426013563
Kabul,precip_mm,25,0.045136421129335844,0.1349356646032405,0.018207633581918212,0.6875406914959206,2.989507391748895
Kabul,wind_kph,25,9.2244248089593,6.964800106724224,48.508440526625755,24.783407015495563,0.7550389591727825
Kabul,air_quality_PM2.5,25,14.914550903821084,6.275088622677106,39.37673722245166,23.04625625278242,0.42073600895816704
Kabul,air_quality_PM10,25,47.01080794322005,29.7297246744082,883.8565292161157,94.85285191432973,0.6324019087337522
Kabul,air_quality_Carbon_Monoxide,25,570.8253969352361,443.67050074879654,196843.51323468785,1693.1266543230574,0.7772438001722861
Kabul,visibility_km,25,1.888602025667252,3.3409163258064125,11.16172189603982,8.469690193846644,1.7689890619629358
Kabul,uv_index,25,1.7653400707383122,1.0625798862790299,1.1290760147247563,4.14182962638072,0.6019122909472228
Valletta,temperature_celsius,25,4.80045929883613,1.5967436874082688,2.549590403278155,5.561881412860421,0.33262310708381565
Valletta,humidity,25,23.635355028448483,7.902940464194828,62.456467980607975,32.08384820794165,0.3343694416556267
Valletta,pressure_mb,25,9.627425284043866,4.22075568180772,17.81477852551215,14.527395438320692,0.4384096014541959
Valletta,precip_mm,25,1.0865945827569476,1.7051062134615629,2.9073871991852287,4.365424774410543,1.5692202414034726
Valletta,wind_kph,25,21.94022234575112,4.687690466039415,21.97444190539683,18.605153720523127,0.21365738196118234
Valletta,air_quality_PM2.5,25,23.914546650419357,28.387675748646494,805.8601344102923,114.41754032593761,1.1870463682048809
Valletta,air_quality_PM10,25,36.719533374868824,34.97143846860134,1223.0015085631699,140.66059625865086,0.952393324598621
Valletta,air_quality_Carbon_Monoxide,25,40.80472426703185,13.337534054521026,177.88981465550808,49.01703360734257,0.3268624967844
Valletta,visibility_km,25,0.5996686815210224,1.7005011634904155,2.891704207032257,6.164566190774053,2.835734491214715
Valletta,uv_index,25,1.407927244021814,0.7928561665824986,0.6286209008878947,2.5394776655599225,0.5631371720016338
Warsaw,temperature_celsius,25,7.78351209287844,1.4715373661453222,2.1654222199619118,4.854958009251016,0.18905827454057816
Warsaw,humidity,25,33.24596646583313,10.490564184127466,110.05193690129796,42.03609474283899,0.3155439681655402
Warsaw,pressure_mb,25,15.680664017836353,5.265086493071403,27.72113577952293,18.485264086855295,0.33576935817784903
Warsaw,precip_mm,25,0.1446953243784878,0.23604032509229242,0.055715035069675095,1.1598068764645253,1.6312919999741546
Warsaw,wind_kph,25,14.210823668617964,5.024740728325212,25.24801938689018,18.067237428833508,0.35358546735200463
Warsaw,air_quality_PM2.5,25,36.57007784929108,24.543651287391345,602.3908185170668,79.77860238020328,0.6711402526551398
Warsaw,air_quality_PM10,25,41.546715523163236,27.88824454634459,777.7541838767188,106.89648518654252,0.6712502828483822
Warsaw,air_quality_Carbon_Monoxide,25,198.1661935315921,153.68244583024773,23618.294156367032,565.4480658382299,0.7755230248480668
Warsaw,visibility_km,25,3.7118246630015483,3.30267351025408,10.907652315334007,10.00530013437874,0.889770883623417
Warsaw,uv_index,25,1.743614305433128,1.2466399944915882,1.554111275865987,4.042110861701025,0.7149746309186841
