year_month,monthly_seasonal_max,monthly_seasonal_min,monthly_seasonal_mean,monthly_seasonal_std,point_count,monthly_seasonal_amplitude,city,feature
2024-05,18.62377289663811,-19.90658948472365,0.6901090578851907,10.443513157343643,16,38.530362381361755,Bern,air_quality_Carbon_Monoxide
2024-06,12.166077116519034,-14.033714635317782,0.022455456678046944,5.911349495840762,30,26.199791751836816,Bern,air_quality_Carbon_Monoxide
2024-07,16.713706551468505,-11.113860281453936,-0.4076611021391212,6.504452577006119,31,27.827566832922443,Bern,air_quality_Carbon_Monoxide
2024-08,20.948584744175815,-18.999077574886712,-0.7761846341566189,10.798464137381115,31,39.94766231906253,Bern,air_quality_Carbon_Monoxide
2024-09,32.40550256891706,-31.435899901467685,-0.4398268990714283,16.530873224588998,30,63.84140247038474,Bern,air_quality_Carbon_Monoxide
2024-10,55.54285418135221,-51.406504889114494,0.581272645579283,25.638863973219205,31,106.9493590704667,Bern,air_quality_Carbon_Monoxide
2024-11,93.954125085431,-67.78612576149041,0.9272066334995201,36.48966417150169,30,161.7402508469214,Bern,air_quality_Carbon_Monoxide
2024-12,83.43585704638566,-97.31025422581232,-1.5927941409427877,40.03605633336292,31,180.746111272198,Bern,air_quality_Carbon_Monoxide
2025-01,90.93208863674695,-95.3887060539988,-2.4647615762921595,43.926001455060664,31,186.32079469074574,Bern,air_quality_Carbon_Monoxide
2025-02,132.6491940833174,-58.93995221929524,2.9022450420944943,41.28328208165367,28,191.58914630261265,Bern,air_quality_Carbon_Monoxide
2025-03,54.83601759235752,-50.29468788721189,-0.1193385955624234,25.6340202321971,31,105.13070547956941,Bern,air_quality_Carbon_Monoxide
2025-04,35.23769985664224,-38.04804913399144,0.7379502344671752,17.396136241375295,30,73.28574899063368,Bern,air_quality_Carbon_Monoxide
2025-05,48.886827893656566,-27.698363921582228,0.22689420513603908,16.93231934402055,31,76.5851918152388,Bern,air_quality_Carbon_Monoxide
2025-06,46.40778586342322,-30.58101274325593,0.9457188759557551,17.325679910843554,30,76.98879860667915,Bern,air_quality_Carbon_Monoxide
