scope,city,var_1,var_2,pearson,spearman,mutual_information,distance_correlation,cross_correlation,best_lag
city,Dakar,visibility_km,air_quality_PM10,-0.2304442407322421,-0.2208639153517394,0.0163538342568434,0.2489551006551331,-0.2304442407322419,0.0
city,Dakar,air_quality_PM2.5,air_quality_PM10,0.9150608984418658,0.933663965638573,1.1555522579349025,0.908775261833941,0.9150608984418652,0.0
city,Kyiv,temperature_celsius,humidity,-0.7617827424476902,-0.760880251350229,0.5586183890823393,0.729540019598591,-0.7617827424476896,0.0
city,Kyiv,temperature_celsius,pressure_mb,-0.316420457210515,-0.329452306931027,0.1870231745234836,0.3727630547977245,-0.324270167602266,18.0
city,Kyiv,temperature_celsius,air_quality_PM2.5,-0.2832475525362109,-0.299652735104899,0.1704774902353101,0.2947111065452978,-0.3694083260217941,16.0
city,Kyiv,humidity,precip_mm,0.2524501345572721,0.4036761004439552,0.1284014776040081,0.2882323985313543,0.2524501345572718,0.0
city,Kyiv,wind_kph,air_quality_PM2.5,-0.2282637053106574,-0.2178396865467994,0.0,0.2100868202628814,-0.2282637053106572,0.0
city,Kyiv,wind_kph,air_quality_PM10,-0.1860669396287534,-0.2084940818866398,0.0607158619231746,0.2028313800280161,-0.1860669396287532,0.0
city,Kyiv,visibility_km,air_quality_PM2.5,-0.0085358949400732,0.0440563146464863,0.0,0.0543424695812783,0.0523032258005644,18.0
city,Kyiv,visibility_km,air_quality_PM10,0.0088712036751931,0.0677260788026673,0.0436209877387316,0.0669526123834697,0.0623056485796231,18.0
city,Kyiv,air_quality_PM2.5,air_quality_PM10,0.948454138212014,0.984155120728634,2.0106876147575807,0.9757835597150102,0.9484541382120124,0.0
city,Accra,temperature_celsius,humidity,-0.7240737545682255,-0.7266579969843895,0.7157758565883343,0.7226118283213568,-0.7240737545682271,0.0
city,Accra,temperature_celsius,pressure_mb,-0.3195970204374254,-0.3180211502575642,0.1776824624133128,0.3497695099939097,-0.3195970204373958,0.0
city,Accra,temperature_celsius,air_quality_PM2.5,0.3109289800777954,0.194457403528331,0.2343481676903058,0.3896090173291061,0.3522348780723886,13.0
city,Accra,humidity,precip_mm,0.0407437093619519,0.0747982187579576,0.0218905348225648,0.0785055054658903,-0.0821551537591003,-29.0
