0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
16.792353,17.869028,17.658884,18.963427,17.717875,18.189323,18.215542,18.617271,18.63273,16.35627,18.823292,19.441212,19.143803,17.80307,17.17071,15.967915,15.697422,17.388313,18.581007,16.998272
22.206896,22.012844,21.589396,22.127876,21.458097,21.462345,22.09328,22.496527,21.273966,21.46336,21.066408,20.595045,21.342745,22.38449,22.091427,23.281204,22.85848,22.158798,22.28389,22.786596
19.1144,19.827866,19.014519,20.601053,18.634531,19.102823,20.648441,20.161354,20.600384,20.220652,19.760614,17.933113,20.334866,21.647799,21.543182,20.332687,20.981932,20.793474,18.70901,18.940666
21.666876,22.836641,25.264475,23.549612,21.928577,22.20601,23.587158,21.529438,21.21117,20.906677,21.826252,18.528715,18.248554,20.469507,22.87359,19.866526,20.50895,17.768763,19.471346,20.628515
16.11073,14.925489,13.851818,15.600306,15.157759,14.553092,15.349171,17.623562,16.470373,16.45059,16.7105,14.529173,16.84776,17.116812,16.938694,16.127525,15.924414,15.705191,14.514009,15.704601
32.58617,31.081799,33.072876,33.227688,32.829407,33.24964,34.05538,33.028477,32.219078,32.02328,32.946213,33.42656,33.97415,33.592876,33.20692,35.1111,34.94057,34.825703,35.457962,35.831516
14.596495,14.445674,14.615012,14.982202,14.656089,16.631878,15.393372,14.907062,15.102336,14.492085,14.450783,16.455406,17.636738,16.820955,17.008648,16.771866,18.15657,18.102621,18.061403,17.470991
17.361118,18.641645,21.686216,22.205954,19.587315,12.546526,21.81356,13.298508,15.265182,17.39024,18.66733,20.743729,22.502234,18.497948,15.830101,15.716471,16.615292,18.529446,20.225124,20.807924
15.978253,17.07579,16.732075,15.019336,16.140602,15.714993,14.67127,15.515851,16.060553,16.656832,16.664782,17.095106,17.135967,18.434788,16.247929,16.593243,17.014488,17.977224,18.226288,16.126827
32.775696,31.184454,32.46484,30.293447,31.057308,32.04646,32.089706,31.393827,30.766115,30.988976,30.9329,30.64255,31.099426,33.310238,32.915455,34.33565,34.271847,31.428804,30.932251,29.307755
8.23832,9.362973,9.22328,12.670088,15.548399,12.767969,9.215403,11.613083,11.372458,12.827831,9.757725,10.448268,12.542733,12.242527,13.342481,14.13727,12.966382,12.306945,14.078144,15.528221
25.295725,24.27082,22.832798,23.381529,24.137823,23.133944,24.02199,24.26864,24.391954,23.711924,24.546898,24.918058,24.117369,23.653515,24.389366,23.431356,24.205011,24.294315,24.469627,24.915834
24.39669,24.599836,24.962536,24.406128,24.125816,24.248938,24.385366,23.791126,24.118454,23.839783,24.23877,23.233152,24.087664,24.505922,25.313923,24.244184,24.108562,23.972206,24.4764,24.794176
11.0915,11.902636,11.917044,13.597403,16.350021,12.921857,11.381246,13.841977,12.9193945,15.142175,15.946255,14.392984,15.610969,13.033829,13.560991,16.541996,15.179259,15.488665,15.821094,16.491001
14.9646225,16.521088,16.118572,16.170912,14.533576,16.301958,17.58266,17.303602,17.48914,15.868924,17.144243,17.460503,17.435274,16.649193,15.781465,15.053173,17.354574,18.03708,15.141084,14.473465
13.492379,14.256815,15.720938,16.0462,14.121133,15.733869,16.841005,14.855799,16.248917,15.426092,12.592084,12.529244,14.016063,14.862161,16.115307,14.007772,15.456389,15.815,16.32439,16.256643
12.251295,15.002945,15.276023,12.0514765,13.192135,15.768096,16.735798,12.00658,12.233807,14.670326,12.804743,12.635655,13.710804,12.638702,12.87645,13.368842,15.398966,17.390833,17.605404,17.930368
25.981222,22.228333,22.775467,24.041883,23.319569,24.278849,24.48718,23.070608,22.123306,22.479431,23.979246,25.01804,25.813217,26.69887,27.461544,25.700323,26.101816,24.7671,23.246565,23.190134
27.462542,27.548231,26.572218,26.343212,25.33304,26.841106,28.061203,27.52161,28.770702,28.09147,27.442148,28.718649,28.295252,26.797815,28.420822,29.249512,26.978722,27.928524,27.901918,28.927322
22.020432,22.516844,21.401386,21.881582,21.76311,21.282873,21.041382,21.594902,22.259144,21.480896,21.60037,17.913248,20.433311,21.340042,21.29902,21.788239,22.016533,21.584675,22.282688,21.973679
23.836184,23.486282,23.22715,20.965788,21.498428,22.260801,21.104177,22.62655,23.313005,22.080378,19.909079,21.544426,22.673868,23.663906,21.657896,22.258091,20.754095,21.770042,23.56438,24.049774
22.393154,18.845282,20.535122,21.20203,20.798456,21.547438,18.441881,16.97515,19.088001,21.237707,20.50545,20.509218,20.593544,22.147661,26.731873,22.315207,21.46695,21.955065,22.2818,23.687733
8.6693735,8.691777,9.615512,10.6883335,10.200752,9.696572,9.847802,9.51237,9.9770775,9.251117,8.734961,8.920197,9.991398,9.433444,8.201089,8.673763,10.395972,10.628305,10.312014,9.10256
