city_index,country,location_name,MSE,MAE,RMSE,SMAPE_%,R2
48,Slovenia,Ljubljana,7.219825444023153,1.9763001621961596,2.6869732868086262,70.96675013476141,0.6546564346823461
49,Germany,Berlin,11.641256570343929,2.744785444825888,3.4119285705219458,93.38847846826967,0.609208754620501
50,Finland,Helsinki,14.445971220412252,2.911955891489983,3.800785605688941,62.68819403966217,0.7918654855850532
51,Russia,Moscow,17.945147265342623,3.374384194374084,4.236171297922526,61.78940612593296,0.7732401075991485
52,Madagascar,Antananarivo,2.162794129386451,1.1405030441284176,1.4706441205765761,4.9954270892486985,0.3089770194979522
53,Burkina Faso,Ouagadougou,5.395947744977284,1.8597427253723142,2.322917937633029,7.8298230153972055,0.6037101385546411
54,Armenia,Yerevan,6.898568760851304,2.080433607384563,2.6265126614679213,60.919332506645375,0.753768489189361
55,Tuvalu,Funafuti,1.3293523194974204,0.8750874176025389,1.1529754201618612,3.0271106401338845,0.043270069992320415
56,Yemen,Sanaa,5.969522721763453,2.042165466308594,2.443260674132716,11.65388910862375,-0.5543705316120844
57,Austria,Vienna,6.873905250778509,2.0256799709796907,2.6218133516286986,66.08817389356444,0.718414316859845
58,Botswana,Gaborone,3.259523911167973,1.3930183715820315,1.8054151631045898,6.890504440993089,0.5273593886489693
59,Bahrain,Manama,2.3528602805476146,1.1992451400756836,1.5339036086233107,5.772170609868905,0.5701671568938076
60,Tanzania,Dodoma,1.965343134195356,1.0837402229309083,1.401906963459186,5.058451797619079,0.2377888589246685
61,Turkmenistan,Ashgabat,23.148357275304683,3.6836648445129394,4.811273976329417,39.38363676129395,0.5723912728063763
62,Syria,Damascus,9.409994627205117,2.367043845653534,3.067571454294931,33.50894104141324,0.5197844516218476
63,Thailand,Bangkok,2.2071166692936277,1.096629810333252,1.4856367891559592,3.2988454236851066,0.6544666058463557
64,Albania,Tirana,5.749696686972092,1.9246656332015994,2.3978525156840007,27.898644140388836,0.5753746953265643
65,Australia,Canberra,17.951243072324942,3.3978831939697263,4.2368907316952304,13.801443960174357,0.49298951706754646
66,Azerbaijan,Baku,7.68293404044238,2.1839676275253295,2.7718106068853947,29.97937013618939,0.4611469413326583
67,Bangladesh,Dhaka,3.7996064689240283,1.2598462982177738,1.949257927757132,4.108043906115444,0.7119912020174811
68,Belgium,Brussels,10.131891288915842,2.5741483423709868,3.1830631927305246,60.82725807416731,0.15424527276167732
69,Gabon,Libreville,1.0251489339374353,0.7815801315307617,1.0124963871231518,3.0564965208241763,-0.06283824079424027
70,Guinea,Conakry,1.0805038536233156,0.8557294845581052,1.0394728729617313,3.4255316340209467,-0.1226958877820532
71,France,Paris,7.392766165290372,2.198705548286438,2.718964171387768,36.53046240435057,0.11757203655843274
72,Portugal,Lisbon,4.236368032613861,1.6555891017913813,2.0582439196105646,14.72799195570484,0.09153276746763372
73,New Zealand,Wellington,3.981225656108048,1.5178751373291015,1.9953008936268355,8.786772382110835,0.09629719488751387
74,Mongolia,Ulaanbaatar,13.993090704753147,2.907787340641022,3.740733979415423,46.30063208405123,0.8634963501508375
75,Nepal,Kathmandu,3.194089397466214,1.2765337562561034,1.7872015547962725,6.184032827338609,0.6855039911059183
76,Indonesia,Laos,1.8999970763800165,0.9995255851745608,1.378403814700183,3.5756789698840197,0.20037158521105347
77,Guinea-Bissau,Bissau,1.10534792794361,0.7920625953674316,1.0513552815026945,3.7967855580169325,0.5856432810832375
78,Central African Republic,Bangui,1.8383399510021234,1.0676626815795898,1.3558539563692409,4.451509009790272,0.0842841048554237
79,Saudi Arabia,Riyadh,8.801147554430013,2.222698396682739,2.9666728087927074,11.982493812177069,0.6444471520847865
80,Sweden,Stockholm,13.88216637937902,2.7002188789844523,3.725877934041723,75.11784484053365,0.5788468368952379
81,Saint Lucia,Castries,0.4128308235548509,0.5202677879333496,0.642519123104403,2.000518701379323,0.09947991965105041
82,Iran,Tehran,12.99120786208694,2.84343604850769,3.6043318190875464,29.061926105011114,0.3348598972407014
83,Israel,Jerusalem,9.275231538274893,2.47809849357605,3.0455264796541983,18.57377800458784,0.13360766958285086
84,Lithuania,Vilnius,8.751457750415165,2.209328696966171,2.958286286081042,50.65187131796796,0.8846438013612536
85,Liechtenstein,Vaduz,13.0471711531636,2.6959832549449056,3.6120868141786957,124.82474990346823,0.18963059060828524
86,Vietnam,Hanoi,10.207685712129791,2.3838204193115233,3.1949469028654907,10.164866915112531,0.5480180031402473
87,Belarus,Minsk,15.347323067365746,2.866272650957107,3.917565962095054,54.24958352175536,0.8466432146670138
88,Benin,Porto-Novo,1.536478870766694,0.9581954116821287,1.2395478493251861,3.5167206306161076,0.16113253809531947
89,Kyrghyzstan,Bishkek,19.819794619512994,3.444400849699974,4.451942791581333,58.9793390614644,0.6492831283562556
90,Lebanon,Beirut,3.4423992052623937,1.368111093521118,1.8553703687572445,8.688818886032795,0.2491862499539479
91,Liberia,Monrovia,0.6690031233836139,0.6295181274414062,0.8179261112005252,2.5986160152265256,-0.10417691073475122
92,Mali,Bamako,5.917774369205148,1.9835361862182614,2.4326476048135595,8.604531224834048,0.5751716198936706
93,Kiribati,Tarawa,0.24256727345447138,0.3740857124328613,0.4925111911971863,1.3151775753828812,-0.17707677485234252
94,Kazakhstan,Astana,16.660250258677458,3.1173791811466214,4.081696982711659,48.54335586030527,0.8737990571152765
95,Bulgaria,Sofia,5.842510932944784,1.9832514022588728,2.417128654611662,81.5136727937444,0.6384356379852474
96,Uruguay,Montevideo,7.6009989927120865,2.104749700546265,2.756990930836024,11.257681038845261,0.0706292525855321
97,Mauritania,Nouakchott,5.380919537345118,2.051387405395508,2.3196809128294174,10.612363270650032,-0.4182786824452953
98,Mauritius,Port Louis,1.2140510754222469,0.8253494682312009,1.101839859245547,2.8523670556515266,-0.19082989251814286
99,Malaysia,Kuala Lumpur,3.127742512892434,1.3239950942993166,1.768542482637167,4.096364339033867,0.00956114598508806
100,Denmark,Copenhagen,5.316006982036564,1.663630999267101,2.305646760029941,78.45889194404378,0.5315720151094645
101,Zimbabwe,Harare,1.934360946115657,1.0993141403198243,1.3908130521805067,5.90420255425396,0.402018245824289
102,Tajikistan,Dushanbe,18.463032754075563,3.485202311515808,4.29686312954876,35.39771315138112,0.5455451590264073
103,Algeria,Algiers,16.72456146953932,3.246339209556579,4.0895673939353685,31.796184040523904,0.12502684657845553
104,Argentina,Buenos Aires,9.009642057391774,2.2535421676635745,3.0016065793824103,11.980962743060086,0.2863918341771876
105,South Korea,Seoul,12.86869133154722,2.7886009222269066,3.5872958243706665,52.686026334949844,0.8139886743929123
106,Egypt,Cairo,6.160051925674813,1.8478281707763669,2.4819451899014235,10.883507790755536,0.2894764124680599
107,Sudan,Juba,11.024394555404417,2.433585498809814,3.3203003712622774,10.551430955550801,0.3644196988593853
108,Djibouti,Djibouti,0.6919271955144155,0.6676876220703126,0.831821612795926,2.5472198880422665,0.7289038155652948
109,Swaziland,Mbabane,5.9418161355768175,1.8927053680419923,2.437584077642619,9.552254668534582,0.3506328262994174
110,Sudan,Khartoum,9.944762920190529,2.392097309112549,3.153531816898401,9.394520223440997,0.37146838848676267
111,Seychelles Islands,Victoria,1.9617840684290986,0.9670538673400877,1.4006370223684288,3.2614840859313348,-0.06452367546854654
112,Somalia,Mogadishu,0.6498926265897472,0.6552421836853025,0.8061591819174097,2.2819762307106792,0.5948247286343853
113,Montenegro,Podgorica,5.596886651825713,1.8317547965049743,2.3657740069215643,26.496186885838323,0.684061226424661
114,North Korea,Pyongyang,12.419915172361431,2.7379888182878487,3.524190002307116,48.35288547464929,0.8643277206133291
115,Norway,Oslo,29.528780658743678,4.421995777845383,5.434039074090623,129.68075345583892,0.03037973451522835
116,Pakistan,Islamabad,12.247942575773079,2.4562529525756838,3.499706069911169,11.713666893894528,0.47758318578701076
117,Romania,Bucharest,9.055383116810352,2.404487977087497,3.009216362578529,81.31754683785589,0.721292996913782
118,Qatar,Doha,3.399814814549213,1.4172975845336913,1.8438586753190205,6.085401824506391,0.6532888198675906
119,Saint Kitts and Nevis,Basseterre,1.3120254960981297,0.8496585884094238,1.1454368145376372,3.431208861426802,-0.41275644325893524
120,Philippines,Manila,1.6495971688662476,1.0053327407836914,1.2843664464887923,3.2064486853961323,0.6898420329697117
121,Estonia,Tallinn,7.27489399919972,2.0526342403888695,2.6972011417763637,56.89886037993905,0.852161169003366
122,Ethiopia,Addis Ababa,16.31086641135487,3.8419248313903798,4.03867136709028,20.319727932704545,-8.346285499446687
123,Democratic Republic of Congo,Kinshasa,1.7913208420787152,1.150834762573242,1.338402346859387,4.880120358540595,-0.957875339319266
