0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
27.21926,26.228165,26.165678,26.62232,25.492025,26.156012,26.804676,25.769726,25.298403,26.087172,26.97399,24.396791,25.022938,24.78113,26.18387,25.528038,25.524994,25.867655,26.675314,26.769783,26.757994,25.95932,26.397131,26.780272,27.00389,26.392344,24.124578,25.827845,26.732464,24.6749,26.266064,26.070162,26.263763,26.502428,25.378002,25.810476,26.093374,25.093616,24.856335,25.645622,26.258385,24.499538,24.902935,24.33565,25.67601,24.97142,25.169937,25.534603,26.226627,25.8784,25.986477,25.727158,25.546165,25.909786,26.138512,25.79174,23.85609,25.014378,25.888292,24.082022,25.421349,25.466074,25.31828,25.621403,25.000072,25.460913,25.526306,24.788485,24.948692,25.468548,26.243273,24.856258,25.231886,24.797953,25.546724,25.394876,25.673992,25.508684,25.956364,25.839724,25.974636,25.557749,25.460352,26.035864,25.876198,25.505634,23.886509,24.866077,25.842728,24.388573,25.158224,25.374369,25.307928,25.551327,24.833677,25.14517,25.281858,24.7589,24.898983,25.148136
8.828555,8.978554,8.557372,0.9536754,5.1260552,9.0261,10.639254,11.311343,11.613603,11.10804,9.547548,9.14922,10.256838,9.13227,10.571817,10.45882,9.989746,10.302674,9.8864975,10.657583,10.457933,10.105379,9.887329,9.564472,10.711011,9.752998,11.570261,12.345628,12.8299,12.458667,11.844152,11.959109,12.01162,6.444818,10.147612,11.276794,12.333495,12.948414,12.063546,11.488704,10.991574,10.841835,11.528041,11.149863,11.817643,11.176018,10.707353,10.656308,10.525352,11.21074,11.190764,10.2202215,10.89274,11.879541,11.476861,11.777928,12.237331,12.028259,12.797243,12.517426,11.6217785,11.8675585,11.479951,10.101852,11.835945,12.120184,12.06966,13.031506,13.129678,11.982553,12.052337,12.630974,13.232471,12.759478,12.96095,12.674284,12.326546,12.264421,12.466984,12.567013,12.292806,12.399628,13.042943,13.333218,12.922985,12.321172,12.634847,13.513231,13.876888,13.36006,13.524864,13.510276,13.518983,13.298312,12.707048,13.542993,13.692774,14.985548,14.234082,14.2189665
27.475853,27.66314,27.86839,28.49547,29.272617,29.132128,29.528193,28.675846,28.46518,26.95932,27.734524,26.967627,27.525589,28.372963,25.552551,26.763382,24.703022,26.148048,28.224705,28.8029,28.58848,27.542051,27.736132,26.775904,26.17163,28.356358,28.772476,27.666426,26.00282,26.587751,27.516588,27.574858,28.100243,28.533684,28.954609,28.777884,28.741398,28.1353,28.021086,26.992458,27.549654,26.457441,26.94025,27.682009,25.700623,26.559168,24.90631,25.984245,28.039783,27.924353,28.069284,27.165934,27.214397,26.765718,26.064018,27.25209,27.700586,27.112738,25.569347,26.227558,27.065077,27.05543,27.39861,27.443533,27.613075,27.845999,27.744488,26.945402,26.922606,26.37591,26.71418,25.977398,26.332413,26.735516,25.368843,25.981665,24.776913,25.630817,27.111238,26.966728,27.207575,26.410532,26.80663,26.68219,26.210173,26.809261,27.107182,26.707647,25.4554,26.045185,26.909134,26.720242,27.145006,27.543732,27.581161,27.613834,27.858442,27.132824,27.121359,26.488602
25.805431,25.806112,24.809061,24.756413,25.847126,25.006525,24.13161,24.821207,25.251478,26.251474,25.153053,24.579275,25.289665,24.544783,25.12317,24.680056,25.989466,23.845793,25.597359,25.99279,24.636366,23.442886,24.661415,24.529459,25.327614,25.099483,24.3313,25.265743,23.898737,25.065323,25.245268,25.773214,24.858124,24.262997,25.441805,24.696415,23.880028,24.29461,24.498293,25.288721,24.635733,24.435541,25.020924,24.210804,24.288584,23.92,25.095135,23.589685,24.514585,24.617325,24.205687,23.12806,23.99288,23.853777,24.516811,24.461674,23.846933,24.347534,23.454235,24.200525,24.573107,24.614813,24.003191,23.814474,24.522997,24.046234,23.047548,23.894453,24.054104,24.497686,23.948942,24.157265,24.726028,24.229362,24.288849,24.197905,24.608917,23.637556,24.08715,24.375345,24.14571,22.963116,23.746544,23.95161,24.489431,23.915493,23.465645,23.882708,23.320972,23.860674,24.269897,24.223225,23.963036,23.92405,24.410074,23.581099,23.11383,23.628664,24.045216,24.207747
21.321503,21.022049,18.90072,19.105276,19.386688,19.733727,20.07878,16.05235,16.288658,17.48431,18.29099,18.775976,18.742083,17.128035,18.908142,20.668364,21.697647,18.57004,18.55583,19.94159,19.457096,18.27149,18.407185,19.26101,19.306059,19.168379,20.39677,20.80315,20.464315,21.071049,22.080359,20.799406,20.108164,20.145063,19.78976,20.165419,20.071457,17.438353,17.118431,17.669855,17.807375,18.549482,18.86286,17.086687,18.691454,19.771729,19.852505,17.28834,17.340488,18.423061,18.742933,17.247044,17.432394,18.280804,17.844276,17.672544,18.532293,19.529837,19.624086,19.088627,19.793585,19.371656,19.123737,19.176277,19.097631,19.026943,19.09139,17.92568,17.429361,17.783173,18.076544,18.854815,19.31658,18.322542,19.038523,19.881195,19.422256,18.300602,18.44289,18.839113,19.276707,18.187578,18.014185,18.700865,18.716341,18.05418,18.55568,19.480042,19.543585,19.46829,20.054958,19.609943,19.608423,19.87759,19.775152,19.489283,19.462269,17.744785,18.210047,18.670563
25.127232,23.952688,22.551632,21.187798,21.295813,23.157549,23.957882,24.878078,23.867046,24.287992,23.215723,22.48661,22.459352,23.49602,23.4284,23.46456,22.526619,23.2624,24.14599,25.087793,24.981667,24.020725,23.47902,23.488993,24.388153,23.857784,25.76795,25.429756,25.338146,24.901789,23.986923,24.170198,23.732471,23.165455,21.473108,23.56104,24.131191,24.069204,23.50532,23.511703,22.924828,22.804314,22.846119,23.567707,22.499474,21.331833,21.622913,22.327295,22.734797,23.055836,23.108707,22.875185,22.347178,22.526466,22.79968,22.75152,23.645723,23.26075,23.521059,23.52885,23.460958,23.435234,22.604103,22.370396,22.46297,22.98463,23.923395,23.982437,23.68022,23.674679,23.487465,23.412952,23.410992,23.19233,23.452293,23.065174,23.001572,23.524693,23.624731,23.778368,23.814604,23.40508,23.371172,23.439894,23.069365,23.446167,23.9371,23.580086,23.451185,23.406878,23.251717,23.531303,22.73324,22.4919,22.367285,22.84239,23.697702,23.652742,24.156996,24.085293
18.616173,18.013872,18.377596,19.228748,17.613325,18.3693,19.189323,18.24472,18.401062,17.79541,18.546913,19.311054,18.853394,18.655262,20.160465,20.722696,21.99353,20.678001,16.80416,20.177896,20.267773,19.346785,19.942286,19.6248,19.851866,17.83844,18.487932,18.54591,19.156801,20.070412,19.282906,19.497807,19.923626,20.20516,19.599596,20.310522,20.435402,19.733898,19.86447,19.530336,19.963917,20.80227,20.246584,20.278051,21.283293,21.972363,22.440958,22.095974,18.525997,20.490768,21.35863,20.387583,20.9376,20.781197,21.03733,19.457333,19.885246,20.387608,20.810291,21.447935,20.91623,20.617533,21.037226,21.134607,20.564348,21.163343,21.477749,20.897305,20.8859,20.745245,21.183008,21.657492,21.558296,21.538452,22.265543,23.115433,23.472647,22.615627,20.420929,21.8629,22.873234,22.207273,22.421234,22.547878,22.304295,21.135744,21.521688,21.475302,22.131624,22.94852,22.37199,22.138474,22.552097,23.486183,23.158733,23.283703,23.664295,23.13316,23.417257,23.202198
28.75089,27.292164,27.347559,28.566221,28.25882,28.098783,29.605095,29.774721,28.89517,29.717443,29.571917,27.359762,29.23967,29.120901,28.239473,28.844454,29.16071,26.443386,29.309515,28.663363,28.204113,28.323195,29.1343,29.530636,26.986734,28.545723,28.328629,27.108868,28.938381,29.671484,29.082365,28.240309,28.08903,29.411633,28.729624,28.764847,29.80558,29.901484,29.054165,29.81267,29.733574,28.034172,29.757318,29.33788,28.520618,29.066498,29.4017,27.406548,29.228703,28.801847,28.569742,28.76244,29.398746,29.640356,27.79126,28.913288,28.417284,27.62222,28.531973,29.872581,29.36297,28.76404,28.24363,29.037794,29.004313,29.122229,29.74872,29.883778,29.177408,29.454845,29.321669,28.500858,29.459478,29.417736,29.042593,29.246464,29.605276,28.131525,29.289509,29.327747,29.0692,28.972322,29.543804,30.201414,28.360224,29.28224,29.093573,27.822855,29.275202,30.105743,29.703651,29.642626,29.230453,30.170612,29.892834,29.64202,30.333261,30.603117,30.179657,29.765789
18.24935,18.450329,19.709105,20.440874,20.844728,18.906061,18.531479,19.215801,19.987162,19.14263,19.300447,18.235079,18.364788,19.27088,18.218554,19.423147,18.713486,19.033512,19.459929,19.442972,18.606438,18.38446,17.979126,19.291237,20.281172,20.822523,20.059877,20.537107,20.221941,19.710415,18.124006,19.04387,19.837963,20.642084,21.047503,19.595013,19.172464,19.573874,20.201532,19.487469,19.311607,18.552652,19.008831,19.777077,18.616686,19.316555,18.83838,19.158573,19.41642,19.221827,18.733133,18.333553,18.455853,19.34688,20.138191,19.987444,19.33368,19.687796,19.683477,19.346779,18.659468,19.244446,19.427675,20.151836,19.87917,19.486591,19.046173,18.90958,19.398159,19.194822,18.695646,18.55674,18.931473,19.411352,18.896255,19.496166,19.332516,19.19702,19.177069,19.161667,19.349909,19.342508,19.339527,19.609299,20.023611,20.431475,19.549595,19.878647,19.643736,19.312216,19.030455,19.586477,19.768784,20.357151,20.382948,19.429802,19.452957,19.448689,19.849154,19.665007
24.200748,23.832947,22.747835,24.21774,23.613491,22.12949,23.191069,24.189224,24.217184,23.42293,23.70973,23.98487,24.026886,25.000004,21.107588,21.612455,22.848158,23.033674,21.099216,20.4404,20.705437,20.682812,21.481869,23.075665,21.58899,22.07255,23.024006,22.457508,22.820414,23.388365,23.549362,23.966097,23.075571,24.151348,22.868763,21.855608,22.941463,22.952335,23.52405,22.770798,22.917564,23.172897,23.532553,23.919079,20.42751,21.61096,22.1531,21.954296,20.303959,19.843708,20.190763,20.178518,20.48116,22.049849,21.01327,21.069715,21.858175,21.38752,21.947645,21.786343,22.32276,22.611155,22.105963,22.224005,22.275257,21.499004,21.811077,22.2096,22.215246,22.002277,21.645521,22.061472,22.372295,22.805698,20.747856,21.097391,21.390373,21.31562,19.96627,20.330612,20.59707,20.016535,20.478584,21.684114,20.809956,20.915049,21.577158,21.445253,22.09375,21.660753,22.295849,22.373394,21.979757,22.679554,22.07845,21.572775,21.825699,22.223019,22.208681,21.936987
