,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
cloud,4.2735362621602024e-07,3.9986659695979625e-07,0.20935910452723955,0.20850360064065085,0.10789489375130314,0.0011641712950957775,0.001254802436915362,0.35023236163069715,0.3856234909749704,0.0003816696045518949,0.0,9.540330221040771e-05,8.29995385669132e-05,0.10417693765927571,0.05123641139377277,0.0012278627435806772,0.2367555614917083,0.2366392119307297,7.174111360598983e-05,0.09100692139986724,5.666067997424037e-06,0.00031627677640560153,1.485746394010443e-06,4.839582746264751e-06,3.476354205349971e-06,5.244211410892516e-06,0.13462542941164612
feels_like_celsius,0.13625432263818904,0.13965298862912046,3.0220525559199135e-08,3.0299701233655475e-08,0.015052129760231582,7.094604063597971e-05,6.45615871456536e-05,0.2224280394280416,0.22748592798461312,4.404801283127447e-15,0.0021676643004092328,0.0,0.34352783979122226,0.3192783159785796,0.29724688200593974,0.0846978294199288,4.71991871884839e-07,4.711904403346488e-07,2.0525547824048515e-08,1.8936281899745464e-06,3.3247075745192446e-06,3.336263366004994e-10,2.2050645638119843e-07,4.291724135030538e-06,1.0906066237429703e-06,3.324873773942715e-07,0.03346292404028908
feels_like_fahrenheit,0.143085114793088,0.1464447766222521,3.077613105560034e-08,3.0855670816253076e-08,0.014961419396998438,7.008007681148272e-05,6.382864059221783e-05,0.22255846489330686,0.22767256743478387,4.3420452398944714e-15,0.0021243820309969287,0.2728858176249625,0.0,0.31256135030851995,0.2909450649095875,0.0844629145465164,4.785958578490031e-07,4.77772446483069e-07,2.0053852537186533e-08,1.8629757952760853e-06,3.2139047563681474e-06,3.274448160092125e-10,2.0948839616036553e-07,4.025807598690801e-06,1.0320803294115372e-06,3.240165803143262e-07,0.03404866638142831
visibility_km,9.219732188681635e-11,9.125476486750041e-11,0.2768588136613885,0.27353002086441275,0.03867694532857662,6.834879719568135e-05,8.290106683285437e-05,0.5254125868881594,0.5872678444322541,9.841189081045256e-07,0.204826729383207,1.943625740212966e-09,1.9611545876878606e-09,0.0,0.0018027379171667666,0.034396656802525453,0.3975435444525217,0.3973437255256309,0.08967689420110603,0.08902495077354106,0.04910479380107792,0.3269162023157717,0.10297190657052029,0.02888761894862122,0.06370266913651655,0.10991263507538912,0.03780178264890561
visibility_miles,1.075094627566592e-11,1.041912239839687e-11,0.3417416825732886,0.33677411013077485,0.04081647918620468,0.00016858475135659508,0.0001999937985447817,0.5918783767662109,0.5770335013645931,4.172464948941323e-07,0.20208554686552657,3.4934210368267235e-10,3.4859720265260744e-10,0.0005971917824745913,0.0,0.012547083915561027,0.33737048160009353,0.3374720346915947,0.055076552184570866,0.11272374718501,0.021881867975961634,0.20506242193730187,0.05103119772777667,0.013363687948706402,0.032444366462922467,0.05797703402853791,0.025958078699892993
uv_index,0.23309067431189792,0.2328727243217152,0.0008688415019939126,0.0008790273262848772,0.08723387604052095,0.04111621829411248,0.03841386890957164,0.6278881661142867,0.6065074114259426,0.010930040777135856,0.04362397490199142,0.3589209241476601,0.3633170820070439,0.48371166529549603,0.6469288046281914,0.0,0.0006848060866681744,0.0006783095508216654,8.875916266149606e-09,0.19849963554601932,2.6297841195699933e-06,3.5028358196981265e-07,4.361104079366899e-07,4.9547232895254334e-06,1.1774521445724623e-08,1.9762472203894493e-07,0.002137325267903011
gust_mph,0.0586055969210937,0.05891429251561043,0.03952498749325603,0.03732710840518536,0.43647591300151833,0.6101997115302156,0.6463383594354398,0.3534593954857206,0.3800396385404322,0.05175596397659931,0.6296902747764977,5.3044053186320706e-05,5.550716792416814e-05,0.7974678363426732,0.8389708372711837,0.3310394061146927,0.0,0.7097588169739204,1.8896968659750087e-09,0.006152906507329893,1.0870802611619823e-08,7.255384573015875e-13,1.8145327790128152e-13,3.251969170231665e-13,1.2290385513422524e-12,2.3772952585214176e-14,0.1042966743527559
gust_kph,0.058428570092403265,0.05874810623276481,0.0397740249369664,0.03753519526623629,0.43823351406061295,0.6142318550682495,0.6503326206526095,0.348885201974799,0.37531196080731577,0.05301572084028088,0.6300117490823416,5.2838685606741564e-05,5.529038011219322e-05,0.799012910598972,0.8352307560122086,0.3259034775494583,0.7053221375307378,0.0,1.8817113381443054e-09,0.006157073969534757,1.0840361213922127e-08,7.075785350440967e-13,1.7620451905204222e-13,3.1843225350017253e-13,1.1956790218103335e-12,2.3185696816804086e-14,0.10512120582908546
air_quality_Carbon_Monoxide,6.206211565052579e-07,6.257205209023006e-07,0.1300180352826115,0.13043695934563895,0.001926202636568189,0.06516118227194533,0.05744040601244688,0.6100823760117209,0.633101414908918,1.9953022617671872e-05,1.2156951330832012e-06,3.288827657344849e-06,3.247557708683272e-06,0.02771218442256551,0.016732693022915596,0.0006145518189763841,0.1950209960900925,0.1955102767511504,0.0,0.011662098407602139,1.4849353398857686e-05,0.03844796734440619,2.6727304868094992e-05,0.001610245690164355,3.101687008134641e-05,0.0002320265145340128,0.6862880232283257
air_quality_Ozone,0.01432044104411116,0.014440866709025743,0.0005976748813084064,0.0005947249472996484,0.11581514306314697,0.00313179477151103,0.0032637059032565876,0.4387985048112324,0.41086063220221847,0.00043600859148519485,0.3064033741918192,0.021749417492369697,0.021597541374372618,0.36175826753879353,0.3409214463049256,0.05676120183542813,0.00015303568849285356,0.00015933970222965996,0.19742673051613457,0.0,4.895945697001371e-09,0.0014804661791877436,0.15904207715286123,0.06056811362331851,0.13174977480469768,0.178178588559537,0.13062879602123476
