,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
cloud,0.3825664398727016,0.38257782487160263,0.318712732008744,0.3184995343527697,0.33740790521374336,0.3153059030385138,0.31877479852303586,0.41608587550352544,0.4160480114620762,0.3054576498742356,0.0,0.39074684958181227,0.3908321559507178,0.46463952174703976,0.4710015293378428,0.39779395854643496,0.3219297938452659,0.32188553862231883,0.34444558105846806,0.31470638164164294,0.31611556966661464,0.3274841917092489,0.31903471700011676,0.3159782120734359,0.32816184509982377,0.29830168639094357,0.3550166001588409
feels_like_celsius,0.04266403279611935,0.04267814318599519,0.31536403289369364,0.31532074507741276,0.3384876470947755,0.3275720828822058,0.32746715922974196,0.32235152926440724,0.32325229866363325,0.2673314396737807,0.39074684958181227,0.0,0.0012082221225451408,0.39676930581964825,0.399562472487339,0.29342084936733326,0.3180961584178535,0.3181513695608104,0.3101150515752235,0.2865427698445583,0.313566809777938,0.30717882663326485,0.3528503655960221,0.3506467580986275,0.3772231349069543,0.3709081119312694,0.33691391479804456
feels_like_fahrenheit,0.04258346670128868,0.042601670888541304,0.3153284342317007,0.3152758019348745,0.33849331351040657,0.32762854086074056,0.3274894774144976,0.3225834428513794,0.3235291808889963,0.2673786055240447,0.3908321559507178,0.0012082221225451408,0.0,0.39718551793182666,0.4000144203251934,0.29344361771953326,0.3180499041960684,0.3181099138833427,0.3101028739655563,0.28659505837342447,0.31352080929344506,0.30723755384258716,0.3527598672745976,0.35060580363481025,0.3774248554445322,0.3708989226937461,0.3369207751137779
visibility_km,0.3686065679664294,0.3687399370513881,0.3842665447677361,0.3848795945830754,0.3701416384609405,0.38299452273810625,0.38126089872844027,0.29645133916208,0.3046505232119826,0.4010431475278674,0.46463952174703976,0.39676930581964825,0.39718551793182666,0.0,0.03120202378300567,0.35418448028767135,0.37799515013065876,0.37813599292055156,0.39144651338402225,0.38092324350788415,0.39239495528728763,0.41672020181806535,0.4228801209603089,0.42102464354065355,0.46449972776623005,0.46128050110355967,0.40752634629095585
visibility_miles,0.3998864166382752,0.400047138535396,0.40672959715049734,0.4077831154719125,0.37915600715660047,0.3798008113460254,0.3823572894676065,0.34123766756101004,0.347583448979525,0.41841700360652634,0.4710015293378428,0.399562472487339,0.4000144203251934,0.03120202378300567,0.0,0.3569569220414365,0.40376740378537596,0.4033947687536814,0.42201678866512154,0.4229247909813102,0.403833177686739,0.43059422321945495,0.44113603553134356,0.44312863451234363,0.46896341810515013,0.4806776528327558,0.431241039223769
uv_index,0.2802115457419186,0.28032562129498007,0.342139097721213,0.34329952386760937,0.3725435795796146,0.3343305390953296,0.3318050514216609,0.32977045770365354,0.3245444553829571,0.34254114732843927,0.39779395854643496,0.29342084936733326,0.29344361771953326,0.35418448028767135,0.3569569220414365,0.0,0.3436404598070529,0.34306877096428856,0.32712921826794555,0.32022018892030013,0.37108667527182904,0.38386673507894903,0.3837392733992665,0.3962937211310441,0.41057716960151347,0.421935699496724,0.3230512119546015
gust_mph,0.3097064711167235,0.3096983068230293,0.07087332143484142,0.07064868180812377,0.29400470883571805,0.3257922243932041,0.3266959707898775,0.3353731723341101,0.3363751148706419,0.2871208892990176,0.3219297938452659,0.3180961584178535,0.3180499041960684,0.37799515013065876,0.40376740378537596,0.3436404598070529,0.0,0.0018775778568635925,0.298624737806187,0.2643977535645432,0.3049130415337145,0.31099882373711824,0.3043947337602321,0.29831893662593184,0.31017989034289856,0.30453565212128403,0.33813253927658127
gust_kph,0.3096614174839581,0.3096540542544226,0.07113291593714784,0.07088435004435492,0.29401904763876285,0.32553369901281104,0.32638750665288435,0.33515574770332834,0.33650862371577206,0.2872597201067401,0.32188553862231883,0.3181513695608104,0.3181099138833427,0.37813599292055156,0.4033947687536814,0.34306877096428856,0.0018775778568635925,0.0,0.2985191008640511,0.26446950553549603,0.304917161773342,0.3112495093469115,0.30429402496587055,0.2982532388257137,0.3102536055566576,0.3046397842181441,0.3380802354515407
air_quality_Carbon_Monoxide,0.3060348639745066,0.30599015200299207,0.2984973182785086,0.29854216000218,0.30875571853791417,0.29685130650300967,0.2954997721248153,0.29280409402075175,0.2942163199993024,0.30060390923524244,0.34444558105846806,0.3101150515752235,0.3101028739655563,0.39144651338402225,0.42201678866512154,0.32712921826794555,0.298624737806187,0.2985191008640511,0.0,0.28032489154189266,0.2710002288174017,0.1933747409003379,0.21886116880846543,0.22740885774665112,0.26714055980762696,0.22880411740600504,0.31988319875871785
air_quality_Ozone,0.2802220504679016,0.2802984249102881,0.2648569740521672,0.2650218714715285,0.31392979328236287,0.3127210923799758,0.3133416205822287,0.3320455642863702,0.33050677253655686,0.3001087364558494,0.31470638164164294,0.2865427698445583,0.28659505837342447,0.38092324350788415,0.4229247909813102,0.32022018892030013,0.2643977535645432,0.26446950553549603,0.28032489154189266,0.0,0.2986079515109357,0.2843963600719502,0.2885489571627945,0.2934616687298897,0.3226515792627077,0.29157611821631557,0.298262754834142
