last_updated,observed,trend,seasonal,residual
2024-06-21,35.2,28.597677810776073,0.8340331911858285,5.7682889980380985
2024-06-22,34.1,28.67104439986943,1.0867476322626537,4.342207967867921
2024-06-23,29.1,28.74376337671921,-0.7203879888584407,1.0766246121392342
2024-06-24,27.2,28.815841896945688,-1.093567154850829,-0.5222747420948615
2024-06-25,25.6,28.886683682298994,-2.026357797442346,-1.2603258848566483
2024-06-26,31.1,28.95509584196259,-2.3962835724447764,4.541187730482193
2024-06-27,29.2,29.01953720908922,-1.3348747473954548,1.515337538306234
2024-06-28,31.2,29.078392004830896,-0.6302301625132876,2.7518381576823927
2024-06-29,33.3,29.130336739888595,-1.3502734253631887,5.519936685474594
2024-06-30,32.2,29.174615826576886,0.19092274476325038,2.8344614286598677
2024-07-01,32.4,29.211177997136716,-1.57038642781494,4.759208430678221
2024-07-02,28.0,29.240743455755858,-1.5009984378727053,0.26025498211684805
2024-07-03,25.0,29.264649522487428,1.0285673882201356,-5.293216910707564
2024-07-04,26.4,29.28465292778249,-1.2921709118880014,-1.5924820158944897
2024-07-05,29.2,29.30264209493386,-1.7193621454319528,1.6167200504980919
2024-07-06,28.1,29.319793268995955,-0.9404384552071112,-0.2793548137888422
2024-07-07,28.4,29.336530737357297,0.26939563215240414,-1.205926369509701
2024-07-08,30.1,29.35277873383215,0.46837740277381285,0.27884386339403733
2024-07-09,35.2,29.368244306205742,0.35520843333381613,5.476547260460446
2024-07-10,33.3,29.38254423091046,0.8490019727345076,3.06845379635503
2024-07-11,33.2,29.395235448574123,2.1315231690717207,1.6732413823541599
2024-07-12,35.3,29.405795298646236,0.6705788388069396,5.223625862546822
2024-07-13,35.2,29.41355388210179,1.9756172943966772,3.8108288235015344
2024-07-14,35.1,29.417765876172066,-0.6155959922787158,6.297830116106649
2024-07-15,36.3,29.417620415581613,1.8039152895483854,5.078464294869999
2024-07-16,34.1,29.412890816825822,4.282488313886591,0.4046208692875872
2024-07-17,34.3,29.40444422000871,4.38548257491782,0.5100732050734678
2024-07-18,36.2,29.39351474114065,-2.3450121799292973,9.151497438788653
2024-07-19,36.1,29.38121096074608,-1.6866191177985128,8.405408157052435
2024-07-20,35.1,29.36840728851877,0.08903430120831253,5.642558410272915
2024-07-21,32.43333333333334,29.355362435631957,0.5986313599619582,2.479339537739424
2024-07-22,29.76666666666667,29.342411637924247,0.5475731069412966,-0.1233180781988743
2024-07-23,27.1,29.330298326724357,-1.0953841301548188,-1.134914196569536
2024-07-24,27.3,29.320005905722265,-0.7821083882247069,-1.237897517497558
2024-07-25,26.5,29.31220264396086,-1.9616189112910696,-0.85058373266979
2024-07-26,27.0,29.306914094847883,-1.95519869099976,-0.3517154038481216
2024-07-27,27.9,29.30398850485226,-0.6687910442016166,-0.735197460650646
2024-07-28,28.2,29.30356421457591,-0.04506886925350123,-1.0584953453224095
