last_updated,raw,weekly_gaussian,monthly_gaussian,yearly_gaussian
2025-01-15,14.3,15.164065920987866,16.64720003109343,18.543409841937653
2025-01-16,16.0,15.821929737779682,16.709492469169426,18.522583724418084
2025-01-17,17.3,16.528961885253743,16.797145826317372,18.502911574945134
2025-01-18,16.1,17.052244974150476,16.903676223998794,18.48441250936806
2025-01-19,18.4,17.48099447393082,17.019780943941804,18.467069853307173
2025-01-20,18.0,17.58066689286833,17.134726437291235,18.450890896817008
2025-01-21,16.4,17.54272364703636,17.23757780515222,18.435875005238948
2025-01-22,18.3,17.777123560421252,17.31854797701342,18.42202793122218
2025-01-23,18.1,18.064641986539073,17.36984572884619,18.409357717511735
2025-01-24,18.3,18.142898461090113,17.38627871147084,18.397865665330137
2025-01-25,18.3,18.03151974649984,17.365391302348513,18.38754678004136
2025-01-26,17.2,17.951802445717398,17.30730278664375,18.37841215608157
2025-01-27,18.3,17.933717139697983,17.214371292885883,18.370458680959935
2025-01-28,19.4,17.394638232075593,17.09091072595314,18.363683806354317
2025-01-29,14.0,16.524921155621005,16.942481865180053,18.35809436501398
2025-01-30,16.1,16.459342925806304,16.775544928277743,18.353688782979493
2025-01-31,18.1,16.941691054084995,16.597291515393316,18.350469649102017
2025-02-01,17.3,16.904923271346664,16.41562916914886,18.3484298550377
2025-02-02,16.2,16.323474962364404,16.238703619912098,18.347566539082273
2025-02-03,15.1,15.808768119162043,16.074805818688,18.347894816079826
2025-02-04,16.1,15.555852307855968,15.93204255597291,18.34941802702847
2025-02-05,15.1,15.321102703776075,15.817528536594311,18.35212108010985
2025-02-06,15.1,15.014214342933553,15.73667712311042,18.35600456023075
2025-02-07,15.0,14.695854822182667,15.692312681229707,18.361076857142805
2025-02-08,13.1,14.632826168219594,15.684077608782953,18.367335223794363
2025-02-09,16.4,14.873788420926568,15.707829646673526,18.374779452709753
2025-02-10,14.2,15.08245798113318,15.756028852215504,18.383403906053264
2025-02-11,15.2,15.47386825636208,15.818435314881093,18.39320850338907
2025-02-12,16.2,16.242564708121428,15.883397916123787,18.404187390699246
2025-02-13,17.3,17.035793909401043,15.939689117941878,18.41635197235777
2025-02-14,18.3,17.32928524015461,15.977976633382703,18.429700058165498
2025-02-15,17.2,16.964380498529437,15.992304859529714,18.444208607376115
2025-02-16,15.1,16.581656055197705,15.980955875537052,18.459874635312538
2025-02-17,17.3,16.624259434285282,15.946263877156587,18.476722898249818
2025-02-18,17.3,16.418256413966006,15.894085423308042,18.494723640121546
2025-02-19,16.1,15.469732426164526,15.832542396097546,18.51388527194773
2025-02-20,12.3,14.573142407603537,15.769903560683495,18.53418549390667
2025-02-21,15.0,14.572137175767779,15.713817213565637,18.55564122487925
2025-02-22,15.3,15.033784585684987,15.66997620257053,18.578256654308156
2025-02-23,15.1,15.448273632014004,15.64165279204185,18.602018023264222
2025-02-24,16.1,15.805049668211819,15.629754563319434,18.62691506470028
2025-02-25,16.3,15.921060154518539,15.634140729619556,18.65293617330148
2025-02-26,16.1,15.66761101365407,15.654548375869549,18.680082900720812
2025-02-27,14.1,15.50180524961953,15.691653950564616,18.70834387462966
2025-02-28,16.0,15.87248868486269,15.74807997418893,18.73771415985864
2025-03-01,17.3,16.252307796379235,15.828494675261833,18.768198031361074
2025-03-02,16.2,16.002492805496864,15.93899044958277,18.799782830256767
2025-03-03,15.1,15.384182525537739,16.08612040298254,18.832469805112968
2025-03-04,14.4,14.9847318710078,16.274782319481744,18.866250603766385
2025-03-05,15.2,14.934843162331017,16.506578284949263,18.901107503229024
2025-03-06,15.0,15.07563797575878,16.778464681437534,18.93702802661575
2025-03-07,14.4,15.622011144634811,17.081720729300855,18.97401666904559
2025-03-08,17.2,16.766374211782797,17.40220080383652,19.012056287140076
2025-03-09,18.0,18.20880892389519,17.721554685549883,19.05114341107162
2025-03-10,19.3,19.62481684105611,18.019343202898757,19.091253695051662
2025-03-11,23.1,20.32451451745302,18.27601573363588,19.132401790731972
2025-03-12,19.0,19.952010356936764,18.47536388283002,19.174567808873054
2025-03-13,18.2,19.750111846036386,18.607017583341744,19.217739085508175
2025-03-14,20.2,20.479934854015248,18.667481483845748,19.26190918247661
2025-03-15,24.4,20.820202969328136,18.66056604212708,19.307063622266256
2025-03-16,18.2,19.82814175443754,18.595936033663655,19.35318977865839
2025-03-17,18.4,18.49892145074871,18.487057355060678,19.400298561864627
2025-03-18,18.1,17.375233686354797,18.348559655042546,19.44835987022746
2025-03-19,15.4,16.390330379051047,18.193731464612195,19.49736735444155
2025-03-20,15.3,16.075485694227577,18.03265168742297,19.547303177029075
2025-03-21,16.1,16.82402903415117,17.87135487250112,19.598155999500708
2025-03-22,18.1,18.33760565875363,17.712244762613867,19.649915823210982
2025-03-23,21.2,19.55311701343635,17.555323343139026,19.702577550892293
2025-03-24,21.4,19.24640190825427,17.399854557939015,19.756110707516594
2025-03-25,16.0,17.731402604820783,17.245932029732664,19.810508596785652
2025-03-26,16.0,16.547970095441777,17.0956186185933,19.865762180961433
2025-03-27,16.2,16.166097922850355,16.9530840022704,19.92185482756257
2025-03-28,16.1,16.075263774574,16.824116442776948,19.978759764914248
2025-03-29,16.1,16.00170267474443,16.715185857085974,20.036460494948606
2025-03-30,15.4,16.01202881767778,16.63237103378203,20.09495006897285
2025-03-31,17.0,16.053600667664703,16.58037464760777,20.154214077697464
2025-04-01,15.3,15.997954659075464,16.562030120568494,20.21423854012362
2025-04-02,16.1,16.063676038891753,16.578828655321953,20.27500152546111
2025-04-03,16.1,16.370441094938812,16.630451740379034,20.336487228348215
2025-04-04,17.1,16.74156184602416,16.715862929964125,20.39868351527718
2025-04-05,17.0,16.935969338724004,16.833525475725345,20.461571659679787
2025-04-06,17.3,16.827706682229206,16.981570655905802,20.525130076259234
2025-04-07,16.2,16.527722666132572,17.157316758290825,20.589340241210998
2025-04-08,16.1,16.40950531730694,17.35722517509691,20.654185047874975
2025-04-09,16.1,16.7763423935357,17.576468594612187,20.71964337971041
2025-04-10,18.0,17.481432584631875,17.808711523756617,20.785695526005288
2025-04-11,18.3,18.092770804783164,18.046303660863767,20.85231826468066
2025-04-12,18.2,18.541449799209133,18.28085509194281,20.919496497868284
2025-04-13,19.3,19.024735836690397,18.50414501905176,20.98720627903509
2025-04-14,19.0,19.597199711182533,18.709152916050286,21.055441722226963
2025-04-15,21.1,20.01095986989032,18.891183754791093,21.124158219675888
2025-04-16,20.4,19.842675680321424,19.048218518506335,21.193349653801924
2025-04-17,18.3,19.397487990133918,19.181683476441027,21.262997420874594
2025-04-18,19.2,19.346649540010127,19.296051370547282,21.333069276472678
2025-04-19,20.0,19.479645573113398,19.39840789604288,21.403557775153935
2025-04-20,20.3,19.243117934859853,19.497648307745926,21.474436260576624
2025-04-21,16.3,19.06090187897133,19.60352153925309,21.545673172677887
2025-04-22,21.4,19.399538331516872,19.725785390839036,21.617250941418263
2025-04-23,19.3,19.629025460795347,19.8730120281619,21.689140038298195
2025-04-24,19.2,19.633473277795744,20.051767173363483,21.76132614159017
2025-04-25,20.3,19.682367079700125,20.265699935528442,21.833782480452545
2025-04-26,19.2,19.697042079066037,20.514995207480723,21.906479248240842
2025-04-27,20.1,19.69355613698093,20.795802150754678,21.979393017623103
2025-04-28,19.4,19.831427840069413,21.100434887175027,22.052507154700333
2025-04-29,19.3,20.560739733366077,21.417786744444516,22.125790776391355
2025-04-30,22.3,22.03719319374548,21.734580595702553,22.199216247891876
2025-05-01,24.2,23.56453673092061,22.036629080285962,22.272767041713514
2025-05-02,25.1,24.34667213927772,22.310464853428805,22.34640429608153
2025-05-03,25.2,24.108259412601804,22.544832954114554,22.420121037847853
2025-05-04,22.1,23.33698584641957,22.731636910248998,22.49388258361918
2025-05-05,23.0,22.87832841070641,22.866594571049202,22.567669013175305
2025-05-06,22.1,23.030307284294246,22.949409151406947,22.6414492979598
2025-05-07,24.1,23.56567218180833,22.983566792001945,22.715195560347663
2025-05-08,24.3,23.945211164721925,22.975851147731078,22.788884589821915
2025-05-09,24.3,23.796833136483777,22.93575540075971,22.86248026252557
2025-05-10,23.2,23.232663112381832,22.875149109894537,22.93595592104539
2025-05-11,22.1,22.718811972537566,22.80721430039751,23.00930850995049
2025-05-12,22.4,22.55466864085028,22.745587103244006,23.082502511266984
2025-05-13,23.2,22.40135596601068,22.702773514583225,23.155495952382868
2025-05-14,22.1,21.850679684091837,22.689120641613343,23.22826764005688
2025-05-15,20.2,21.241059002082388,22.71103889203218,23.300790719536277
2025-05-16,21.2,21.098988063495362,22.770175413155954,23.3730535350954
2025-05-17,21.0,21.405955846808194,22.86324927161374,23.445022317947938
2025-05-18,22.1,22.05309785623299,22.982499614114275,23.51666693483542
2025-05-19,22.1,23.15930254312378,23.117505279699134,23.587952055480454
2025-05-20,25.2,24.573405165150866,23.257158851651646,23.658855035760094
2025-05-21,27.0,25.455545810170833,23.392121743299853,23.72934993533714
2025-05-22,25.0,25.351162726482915,23.516900293231686,23.799416866189958
2025-05-23,25.1,24.63175354332789,23.630904993509105,23.869021851554663
2025-05-24,24.1,23.556898392095704,23.738509309915976,23.938133154365808
2025-05-25,21.1,22.59241269557148,23.84826455149453,24.0067393234226
